number,total_count,bonus_count,recent_30_count,recent_100_count,last_seen_draw_no,absence_count,odd_even,zone,is_over31,frequency_score,recent_score,midterm_score,absence_score,bonus_score,base_data_score
1,289,42,3,13,2098,2,odd,low,0,47.76,22.22,38.46,10.0,9.68,28.16
2,310,41,3,15,2093,7,even,low,0,79.1,22.22,53.85,35.0,6.45,43.75
3,285,43,3,11,2097,3,odd,low,0,41.79,22.22,23.08,15.0,12.9,24.91
4,286,57,2,8,2094,6,even,low,0,43.28,11.11,0.0,30.0,58.06,25.41
5,296,44,3,14,2082,18,odd,low,0,58.21,22.22,46.15,90.0,16.13,48.95
6,324,70,6,15,2098,2,even,low,0,100.0,55.56,53.85,10.0,100.0,61.66
7,271,47,3,17,2094,6,odd,low,0,20.9,22.22,69.23,30.0,25.81,33.21
8,291,50,8,16,2100,0,even,low,0,50.75,77.78,61.54,0.0,35.48,47.99
9,257,54,3,8,2090,10,odd,low,0,0.0,22.22,0.0,50.0,48.39,20.39
10,305,53,5,16,2093,7,even,low,0,71.64,44.44,61.54,35.0,45.16,52.85
11,280,51,4,12,2094,6,odd,low,0,34.33,33.33,30.77,30.0,38.71,32.94
12,288,49,2,14,2080,20,even,low,0,46.27,11.11,46.15,100.0,32.26,46.8
13,274,57,4,15,2095,5,odd,low,0,25.37,33.33,53.85,25.0,58.06,36.25
14,284,54,4,14,2082,18,even,low,0,40.3,33.33,46.15,90.0,48.39,50.48
15,304,41,5,13,2098,2,odd,mid,0,70.15,44.44,38.46,10.0,6.45,38.99
16,296,45,5,14,2091,9,even,mid,0,58.21,44.44,46.15,45.0,19.35,45.83
17,272,41,5,14,2100,0,odd,mid,0,22.39,44.44,46.15,0.0,6.45,26.58
18,298,47,8,19,2098,2,even,mid,0,61.19,77.78,84.62,10.0,25.81,56.25
19,307,40,5,13,2099,1,odd,mid,0,74.63,44.44,38.46,5.0,3.23,38.78
20,293,43,4,12,2097,3,even,mid,0,53.73,33.33,30.77,15.0,12.9,32.21
21,310,47,4,18,2099,1,odd,mid,0,79.1,33.33,76.92,5.0,25.81,47.07
22,297,46,2,14,2095,5,even,mid,0,59.7,11.11,46.15,25.0,22.58,34.19
23,292,44,2,10,2095,5,odd,mid,0,52.24,11.11,15.38,25.0,16.13,25.53
24,307,41,10,21,2100,0,even,mid,0,74.63,100.0,100.0,0.0,6.45,64.3
25,287,45,2,10,2091,9,odd,mid,0,44.78,11.11,15.38,45.0,19.35,27.98
26,307,57,7,16,2093,7,even,mid,0,74.63,66.67,61.54,35.0,58.06,60.44
27,304,57,4,13,2097,3,odd,mid,0,70.15,33.33,38.46,15.0,58.06,42.37
28,294,67,4,15,2095,5,even,mid,0,55.22,33.33,53.85,25.0,90.32,46.94
29,277,46,4,15,2093,7,odd,mid,0,29.85,33.33,53.85,35.0,22.58,35.82
30,293,56,5,16,2095,5,even,high,0,53.73,44.44,61.54,25.0,54.84,47.34
31,283,46,1,12,2081,19,odd,high,0,38.81,0.0,30.77,95.0,22.58,37.11
32,295,51,4,10,2100,0,even,high,1,56.72,33.33,15.38,0.0,38.71,29.46
33,280,54,2,12,2096,4,odd,high,1,34.33,11.11,30.77,20.0,48.39,26.35
34,276,62,2,11,2099,1,even,high,1,28.36,11.11,23.08,5.0,74.19,22.9
35,304,47,5,16,2100,0,odd,high,1,70.15,44.44,61.54,0.0,25.81,43.54
36,300,44,6,15,2099,1,even,high,1,64.18,55.56,53.85,5.0,16.13,43.32
37,315,45,6,16,2092,8,odd,high,1,86.57,55.56,61.54,40.0,19.35,57.77
38,308,39,2,12,2093,7,even,high,1,76.12,11.11,30.77,35.0,0.0,34.96
39,294,44,6,16,2099,1,odd,high,1,55.22,55.56,61.54,5.0,16.13,42.62
40,279,51,3,13,2086,14,even,high,1,32.84,22.22,38.46,70.0,38.71,39.33
41,276,46,3,11,2100,0,odd,high,1,28.36,22.22,23.08,0.0,22.58,19.52
42,313,45,5,21,2099,1,even,high,1,83.58,44.44,100.0,5.0,19.35,54.94
43,299,51,6,14,2096,4,odd,high,1,62.69,55.56,46.15,20.0,38.71,46.66
